Date,Price
2011-10-01,565.0
2011-11-01,615.5
2011-12-01,516.0
2012-01-01,570.5
2012-02-01,621.0
2012-03-01,521.5
2012-04-01,572.0
2012-05-01,622.5
2012-06-01,523.0
2012-07-01,573.5
2012-08-01,624.0
2012-09-01,524.5
2012-10-01,575.0
2012-11-01,625.5
2012-12-01,526.0
2013-01-01,580.5
2013-02-01,631.0
2013-03-01,531.5
2013-04-01,582.0
2013-05-01,632.5
2013-06-01,533.0
2013-07-01,583.5
2013-08-01,634.0
2013-09-01,534.5
2013-10-01,585.0
2013-11-01,635.5
2013-12-01,536.0
2014-01-01,590.5
2014-02-01,641.0
2014-03-01,541.5
2014-04-01,592.0
2014-05-01,642.5
2014-06-01,543.0
2014-07-01,593.5
2014-08-01,644.0
2014-09-01,544.5
2014-10-01,595.0
2014-11-01,645.5
2014-12-01,546.0
2015-01-01,600.5
2015-02-01,651.0
2015-03-01,551.5
2015-04-01,602.0
2015-05-01,652.5
2015-06-01,553.0
2015-07-01,603.5
2015-08-01,654.0
2015-09-01,554.5
2015-10-01,605.0
2015-11-01,655.5
2015-12-01,556.0
2016-01-01,610.5
2016-02-01,661.0
2016-03-01,561.5
2016-04-01,612.0
2016-05-01,662.5
2016-06-01,563.0
2016-07-01,613.5
2016-08-01,664.0
2016-09-01,564.5
2016-10-01,615.0
2016-11-01,665.5
2016-12-01,566.0
2017-01-01,620.5
2017-02-01,671.0
2017-03-01,571.5
2017-04-01,622.0
2017-05-01,672.5
2017-06-01,573.0
2017-07-01,623.5
2017-08-01,674.0
2017-09-01,574.5
2017-10-01,625.0
2017-11-01,675.5
2017-12-01,576.0
2018-01-01,630.5
2018-02-01,681.0
2018-03-01,581.5
2018-04-01,632.0
2018-05-01,682.5
2018-06-01,583.0
2018-07-01,633.5
2018-08-01,684.0
2018-09-01,584.5
2018-10-01,635.0
2018-11-01,685.5
2018-12-01,586.0
2019-01-01,640.5
2019-02-01,691.0
2019-03-01,591.5
2019-04-01,642.0
2019-05-01,692.5
2019-06-01,593.0
2019-07-01,643.5
2019-08-01,694.0
2019-09-01,594.5
2019-10-01,645.0
2019-11-01,695.5
2019-12-01,596.0
2020-01-01,650.5
2020-02-01,701.0
2020-03-01,601.5
2020-04-01,652.0
2020-05-01,702.5
2020-06-01,603.0
2020-07-01,653.5
2020-08-01,704.0
2020-09-01,604.5
2020-10-01,655.0
2020-11-01,705.5
2020-12-01,606.0
2021-01-01,660.5
2021-02-01,711.0
2021-03-01,611.5
2021-04-01,662.0
2021-05-01,712.5
2021-06-01,613.0
2021-07-01,663.5
2021-08-01,714.0
2021-09-01,614.5
2021-10-01,665.0
2021-11-01,715.5
2021-12-01,616.0
2022-01-01,670.5
2022-02-01,721.0
2022-03-01,621.5
2022-04-01,672.0
2022-05-01,722.5
2022-06-01,623.0
2022-07-01,673.5
2022-08-01,724.0
2022-09-01,624.5
2022-10-01,675.0
2022-11-01,725.5
2022-12-01,626.0
2023-01-01,680.5
2023-02-01,731.0
2023-03-01,631.5
2023-04-01,682.0
2023-05-01,732.5
2023-06-01,633.0
2023-07-01,683.5
2023-08-01,734.0
2023-09-01,634.5
2023-10-01,685.0
2023-11-01,735.5
2023-12-01,636.0
2024-01-01,690.5
2024-02-01,741.0
2024-03-01,641.5
2024-04-01,692.0
2024-05-01,742.5
2024-06-01,643.0
2024-07-01,693.5
2024-08-01,744.0
2024-09-01,644.5
2024-10-01,695.0
2024-11-01,745.5
2024-12-01,646.0
2025-01-01,700.5
2025-02-01,751.0
2025-03-01,651.5
